date,year,month,day,full_path,status,missing_list,meta_size
2002-11-14,2002,11,14,/nrp/sio/embeddings_modis_2002-2022/2002/11/14/,OK,,817710
2002-11-15,2002,11,15,/nrp/sio/embeddings_modis_2002-2022/2002/11/15/,OK,,168488
2002-11-16,2002,11,16,/nrp/sio/embeddings_modis_2002-2022/2002/11/16/,OK,,832866
2002-11-17,2002,11,17,/nrp/sio/embeddings_modis_2002-2022/2002/11/17/,OK,,848183
2002-11-18,2002,11,18,/nrp/sio/embeddings_modis_2002-2022/2002/11/18/,OK,,848166
2002-11-19,2002,11,19,/nrp/sio/embeddings_modis_2002-2022/2002/11/19/,OK,,832183
2002-11-20,2002,11,20,/nrp/sio/embeddings_modis_2002-2022/2002/11/20/,OK,,863400
2002-11-21,2002,11,21,/nrp/sio/embeddings_modis_2002-2022/2002/11/21/,OK,,818113
2002-11-22,2002,11,22,/nrp/sio/embeddings_modis_2002-2022/2002/11/22/,OK,,873439
2002-11-23,2002,11,23,/nrp/sio/embeddings_modis_2002-2022/2002/11/23/,OK,,827260
2002-11-24,2002,11,24,/nrp/sio/embeddings_modis_2002-2022/2002/11/24/,OK,,864057
2002-11-25,2002,11,25,/nrp/sio/embeddings_modis_2002-2022/2002/11/25/,OK,,847327
2002-11-26,2002,11,26,/nrp/sio/embeddings_modis_2002-2022/2002/11/26/,OK,,845643
2002-11-27,2002,11,27,/nrp/sio/embeddings_modis_2002-2022/2002/11/27/,OK,,860850
2002-11-28,2002,11,28,/nrp/sio/embeddings_modis_2002-2022/2002/11/28/,OK,,828863
2002-11-29,2002,11,29,/nrp/sio/embeddings_modis_2002-2022/2002/11/29/,OK,,874761
2002-11-30,2002,11,30,/nrp/sio/embeddings_modis_2002-2022/2002/11/30/,OK,,822914
2002-12-01,2002,12,1,/nrp/sio/embeddings_modis_2002-2022/2002/12/01/,OK,,1328
2002-12-02,2002,12,2,/nrp/sio/embeddings_modis_2002-2022/2002/12/02/,OK,,837924
2002-12-03,2002,12,3,/nrp/sio/embeddings_modis_2002-2022/2002/12/03/,OK,,853449
2002-12-04,2002,12,4,/nrp/sio/embeddings_modis_2002-2022/2002/12/04/,OK,,854633
2002-12-05,2002,12,5,/nrp/sio/embeddings_modis_2002-2022/2002/12/05/,OK,,839149
2002-12-06,2002,12,6,/nrp/sio/embeddings_modis_2002-2022/2002/12/06/,OK,,871450
2002-12-07,2002,12,7,/nrp/sio/embeddings_modis_2002-2022/2002/12/07/,OK,,821830
2002-12-08,2002,12,8,/nrp/sio/embeddings_modis_2002-2022/2002/12/08/,OK,,879043
2002-12-09,2002,12,9,/nrp/sio/embeddings_modis_2002-2022/2002/12/09/,OK,,832370
2002-12-10,2002,12,10,/nrp/sio/embeddings_modis_2002-2022/2002/12/10/,OK,,867579
2002-12-11,2002,12,11,/nrp/sio/embeddings_modis_2002-2022/2002/12/11/,OK,,850488
2002-12-12,2002,12,12,/nrp/sio/embeddings_modis_2002-2022/2002/12/12/,OK,,844769
2002-12-13,2002,12,13,/nrp/sio/embeddings_modis_2002-2022/2002/12/13/,OK,,862306
2002-12-14,2002,12,14,/nrp/sio/embeddings_modis_2002-2022/2002/12/14/,OK,,764203
2002-12-15,2002,12,15,/nrp/sio/embeddings_modis_2002-2022/2002/12/15/,OK,,872669
2002-12-16,2002,12,16,/nrp/sio/embeddings_modis_2002-2022/2002/12/16/,OK,,821097
2002-12-17,2002,12,17,/nrp/sio/embeddings_modis_2002-2022/2002/12/17/,OK,,867724
2002-12-18,2002,12,18,/nrp/sio/embeddings_modis_2002-2022/2002/12/18/,OK,,834489
2002-12-19,2002,12,19,/nrp/sio/embeddings_modis_2002-2022/2002/12/19/,OK,,853402
2002-12-20,2002,12,20,/nrp/sio/embeddings_modis_2002-2022/2002/12/20/,OK,,856325
2002-12-21,2002,12,21,/nrp/sio/embeddings_modis_2002-2022/2002/12/21/,OK,,837296
2002-12-22,2002,12,22,/nrp/sio/embeddings_modis_2002-2022/2002/12/22/,OK,,875895
2002-12-23,2002,12,23,/nrp/sio/embeddings_modis_2002-2022/2002/12/23/,OK,,824084
2002-12-24,2002,12,24,/nrp/sio/embeddings_modis_2002-2022/2002/12/24/,OK,,880407
2002-12-25,2002,12,25,/nrp/sio/embeddings_modis_2002-2022/2002/12/25/,OK,,833103
2002-12-26,2002,12,26,/nrp/sio/embeddings_modis_2002-2022/2002/12/26/,OK,,863195
2002-12-27,2002,12,27,/nrp/sio/embeddings_modis_2002-2022/2002/12/27/,OK,,847185
2002-12-28,2002,12,28,/nrp/sio/embeddings_modis_2002-2022/2002/12/28/,OK,,846165
2002-12-29,2002,12,29,/nrp/sio/embeddings_modis_2002-2022/2002/12/29/,OK,,865214
2002-12-30,2002,12,30,/nrp/sio/embeddings_modis_2002-2022/2002/12/30/,OK,,830539
2002-12-31,2002,12,31,/nrp/sio/embeddings_modis_2002-2022/2002/12/31/,OK,,882191
2003-01-01,2003,1,1,/nrp/sio/embeddings_modis_2002-2022/2003/01/01/,OK,,828519
2003-01-02,2003,1,2,/nrp/sio/embeddings_modis_2002-2022/2003/01/02/,OK,,871055
2003-01-03,2003,1,3,/nrp/sio/embeddings_modis_2002-2022/2003/01/03/,OK,,836195
2003-01-04,2003,1,4,/nrp/sio/embeddings_modis_2002-2022/2003/01/04/,OK,,853563
2003-01-05,2003,1,5,/nrp/sio/embeddings_modis_2002-2022/2003/01/05/,OK,,852741
2003-01-06,2003,1,6,/nrp/sio/embeddings_modis_2002-2022/2003/01/06/,OK,,834126
2003-01-07,2003,1,7,/nrp/sio/embeddings_modis_2002-2022/2003/01/07/,OK,,869239
2003-01-08,2003,1,8,/nrp/sio/embeddings_modis_2002-2022/2003/01/08/,OK,,821949
2003-01-09,2003,1,9,/nrp/sio/embeddings_modis_2002-2022/2003/01/09/,OK,,875536
2003-01-10,2003,1,10,/nrp/sio/embeddings_modis_2002-2022/2003/01/10/,OK,,829749
2003-01-11,2003,1,11,/nrp/sio/embeddings_modis_2002-2022/2003/01/11/,OK,,862538
2003-01-12,2003,1,12,/nrp/sio/embeddings_modis_2002-2022/2003/01/12/,OK,,847107
2003-01-13,2003,1,13,/nrp/sio/embeddings_modis_2002-2022/2003/01/13/,OK,,663046
2003-01-14,2003,1,14,/nrp/sio/embeddings_modis_2002-2022/2003/01/14/,OK,,859242
